Outward remittance flows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% of GDP in 2021
Afghanistan,,,,,,,,,,,,,,,,,,,217,625,789,454,324,445,524,229,168,144,235,217,225,, 
Luxembourg,0,0,0,0,0,0,0,0,0,"2,694","2,720","3,139","4,114","5,120","6,084","6,742","7,627","9,368","11,043","10,759","10,659","11,775","11,454","12,419","12,917","11,233","11,679","12,694","14,045","14,153","14,306","16,955",19.5
Kuwait,770,426,829,"1,229","1,331","1,354","1,376","1,375","1,611","1,731","1,734","1,785","1,926","2,144","2,404","2,648","3,183","9,764","10,323","11,749","11,864","13,012","15,459","17,711","18,128","15,203","15,288","13,760","14,347","18,855","17,357","18,468",13.6
Timor-Leste,,,,,,,,,,,,,,,,,1,3,16,86,103,105,107,8,28,159,237,266,286,293,398,319,13.5
Lebanon,,,,,,,,,,,,,"2,521","4,081","4,233","4,012","3,445","2,962","4,366","5,749","4,390","4,377","4,698","4,949","4,289","3,675","4,171","4,453","5,007","4,335","2,946","2,095",11.6
United Arab Emirates,,,,,,,,"3,186","3,431","3,635","3,676","3,910","4,139","4,389","4,648","5,372","6,072","8,683","9,995","9,532","10,566","11,220","14,398","17,933","19,280","40,702","43,775","44,753","46,085","44,956","43,349","47,543",11.3
Maldives,8,17,19,27,22,27,27,28,31,41,46,50,51,55,62,70,84,189,219,190,189,240,260,266,301,348,376,475,532,596,397,496,9.5
Oman,856,910,"1,220","1,423","1,365","1,537","1,371","1,501","1,467","1,438","1,451","1,532","1,602","1,672","1,826","2,257","2,788","3,670","5,181","5,316","5,704","7,215","8,087","9,104","10,301","10,991","10,312","9,815","9,958","9,134","8,772","8,118",9.5
"Macao SAR, China",,,,,,,,,,,,,123,120,146,233,441,792,"1,018",768,637,774,973,"1,283","1,630","1,949","2,027","2,041","2,166","2,324","2,134","2,147",7.2
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,10,9,9,9,10,10,10,17,19,20,20,20,19,16,7.2
Kyrgyz Republic,,,,2,4,10,8,14,15,12,11,13,14,18,30,53,68,90,101,107,168,228,286,390,454,363,378,476,560,574,506,587,6.9
Tonga,1,1,1,1,2,,,,,,,,15,13,10,11,14,9,13,9,8,6,5,7,6,14,26,27,21,29,29,31,6.6
Mauritius,0,0,0,0,0,0,0,0,0,0,0,6,8,9,9,9,10,10,13,10,8,9,8,8,701,600,599,581,747,823,"1,102",720,6.4
Qatar,,,,,,,,,,,,,,,,,,,,,,"10,445","10,413","11,281","11,230","12,192","11,982","12,759","11,558","11,964","10,112","10,966",6.1
Saudi Arabia,"11,221","13,728","13,379","15,696","18,078","16,594","15,493","15,014","14,934","13,958","15,390","15,120","15,854","14,783","13,555","14,303","15,943","16,436","21,696","26,470","27,069","28,475","29,493","34,984","36,924","38,787","37,843","36,119","33,882","31,197","34,596","40,735",4.9
Grenada,0,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,44,48,48,52,55,56,50,53,4.7
Dominica,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,25,21,20,14,26,22,24,4.4
Switzerland,"8,168","8,675","8,851","8,220","8,723","10,114","9,614","7,847","7,767","7,578","6,196","6,921","7,948","9,374","10,615","10,859","11,663","13,403","15,838","16,396","18,512","23,680","23,739","25,338","26,817","26,031","26,050","26,962","27,741","28,436","29,638","31,593",4.0